page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
100 Mile Free Press,https://mediabiasfactcheck.com/100-mile-free-press-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.100milefreepress.net/,100milefreepress.net,leftcenter,
604 Now,https://mediabiasfactcheck.com/604-now/,LEFT-CENTER,MOSTLY FACTUAL,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://604now.com/,604now.com,leftcenter,
972 Magazine,https://mediabiasfactcheck.com/972-magazine/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://972mag.com/,972mag.com,leftcenter,
1600 Daily,https://mediabiasfactcheck.com/1600-daily/,,MOSTLY FACTUAL,USA,,,,https://www.whitehouse.gov/1600daily,whitehouse.gov,leftcenter,
ABC News,https://mediabiasfactcheck.com/abc-news/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://abcnews.go.com,abcnews.go.com,leftcenter,
ABC News Australia,https://mediabiasfactcheck.com/abc-news-australia/,LEFT-CENTER,HIGH,Australia,TV Station,High Traffic,HIGH CREDIBILITY,https://www.abc.net.au,abc.net.au,leftcenter,
ABC11 Eyewitness News,https://mediabiasfactcheck.com/abc11-eyewitness-news/,LEFT-CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://abc11.com/,abc11.com,leftcenter,
Abbotsford News,https://mediabiasfactcheck.com/abbotsford-news-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,http://www.abbynews.com/,abbynews.com,leftcenter,
Above the Law,https://mediabiasfactcheck.com/above-the-law/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://abovethelaw.com/,abovethelaw.com,leftcenter,
AceShowbiz,https://mediabiasfactcheck.com/aceshowbiz-asb/,LEFT-CENTER,MIXED,Indonesia,Website,Medium Traffic,MEDIUM CREDIBILITY,https://www.aceshowbiz.com/,aceshowbiz.com,leftcenter,
ACLU,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,LEFT-CENTER,MIXED,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,MEDIUM CREDIBILITY,https://www.aclu.org/,aclu.org,leftcenter,
Ada Derana,https://mediabiasfactcheck.com/ada-derana-bias/,LEFT-CENTER,MIXED,Sri Lanka,Website,Medium Traffic,MEDIUM CREDIBILITY,http://www.adaderana.lk/,adaderana.lk,leftcenter,
Aeon,https://mediabiasfactcheck.com/aeon/,LEFT-CENTER,HIGH,Australia,Website,Medium Traffic,HIGH CREDIBILITY,https://aeon.co/,aeon.co,leftcenter,
Affinity Magazine,https://mediabiasfactcheck.com/affinity-magazine/,LEFT-CENTER,MIXED,USA,Magazine,Minimal Traffic,MIXED CREDIBILITY,http://affinitymagazine.us/,affinitymagazine.us,leftcenter,
